id,KG name,Dataset URL,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,R1.1 Machine- or human-readable license retrievable via any primary source,R1.2 Publisher information such as authors-contributors-publishers and sources,R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,FAIR score
zaragoza_turruta,zaragoza_turruta,absent,1,0,1,0.33,1,1,0.72,0,1,0,1,0.5,0,0,0,1,0.25,0,1,0,1,0.5,1.97
zaragoza-datosabiertos,Datos Abiertos de Zaragoza,http://www.zaragoza.es/ciudad/risp/presentacion.htm,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,1,1,0.75,1,1,0,1,0.75,3.03
linked-nuts,Linked NUTS,http://nuts.psi.enakting.org/,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.53
hellenic-police,Hellenic Police,http://greek-lod.math.auth.gr/police/,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,1,1,1,1,1,0,1,0.75,3.05
diavgeia,Diavgeia,http://opendata.diavgeia.gov.gr/?lang=en,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,1,1,1,1,1,0,1,0.75,3.03
enakting-crime,EnAKTing Crime Dataset,http://crime.psi.enakting.org/,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.53
kallikratis-municipalities,Kallikratis municipalities,http://greek-lod.math.auth.gr/kalikratis/,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
linked-eurostat,Linked Eurostat (OntologyCentral),http://ontologycentral.com/2009/01/eurostat/,1,0,1,0.56,1,1,0.76,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.26
opendatacommunities-societal-wellbeing-deprivation-imd-rank-2007,opendatacommunities-societal-wellbeing-deprivation-imd-rank-2007,absent,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
eea-rod,EEA Reporting Obligations Database,http://rod.eionet.europa.eu/,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.32
ecb-statistics-linked-data,European Central Bank Statistics (PublicData.eu),http://ecb.publicdata.eu,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.82
eionet-rdf,EIONET RDF Data,http://rdfdata.eionet.europa.eu/,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
clean-energy-data-reegle,Linked Clean Energy Data (reegle.info),http://data.reegle.info/,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.82
opendatacommunities-imd-income-rank-la-2010,opendatacommunities-imd-income-rank-la-2010,absent,1,0,1,0.44,1,1,0.74,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.24
opendatacommunities-societal-wellbeing-deprivation-imd-income-rank-la-2010,opendatacommunities-societal-wellbeing-deprivation-imd-income-rank-la-2010,absent,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
FADN_(2019),Farm Accountancy Data Network (FADN) linked dataset from 2019 @PSNC,https://www.foodie-cloud.org/fct/,,,,,,,,,,,,,,,,,,,,,,,
opendatacommunities-wellbeing-happy-yesterday-standard-deviation,opendatacommunities-wellbeing-happy-yesterday-standard-deviation,absent,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,0,1,0.5,0,1,0,1,0.5,2.53
openlylocal,Openly Local :: Making Local Government More Transparent,http://openlylocal.com/,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
opencorporates,OpenCorporates - The Open Database Of The Corporate World,http://opencorporates.com/,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
