KG id,KG name,Dataset URL,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,R1.1 Machine- or human-readable license retrievable via any primary source,"R1.2 Publisher information, such as authors, contributors, publishers, and sources",R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,FAIR score
lista-encabezamientos-materia,Lista de  Encabezamientos de Materia as Linked Open Data,http://id.sgcb.mcu.es/sparql,1,0,1,0.56,0,1,0.59,0.5,1,0,1,0.62,1,0,0,1,0.5,1,1,1,0,0.75,2.46
LucaniPharsalia,Lucani Pharsalia in LiLa,https://lila-erc.eu/sparql/lila_knowledge_base/sparql,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,1,1,0,1,0.75,1,1,1,1,1,3.28
massobservationarchivecatalogue,Mass Observation Archive catalogue,http://api.talis.com/stores/massobservation/services/sparql,1,0,1,0.44,0,1,0.57,0,1,0,1,0.5,1,0,0,0,0.25,1,1,1,0,0.75,2.07
mismuseos-gnoss,"Mis Museos, índice semántico de museos, artistas y obras de arte (GNOSS)",,1,0,1,0.56,0,1,0.59,1,1,0,1,0.75,1,0,0,1,0.5,1,1,1,0,0.75,2.59
muninn-world-war-i,Muninn World War I,http://rdf.muninn-project.org/sparql,1,0,1,0.89,0,1,0.65,1,1,0,1,0.75,1,1,0.42,1,0.86,1,1,1,1,1,3.26
museosespania-gnoss,"Museos de España, colección de museos públicos y privados españoles (GNOSS)",,1,0,1,0.56,0,1,0.59,1,1,0,1,0.75,1,1,0,1,0.75,1,1,1,1,1,3.09
museums-in-italy,Italian Museums,http://sparql.linkedopendata.it/musei,1,0,1,0.56,0,1,0.59,0,1,0,1,0.5,1,1,0,1,0.75,1,1,1,1,1,2.84
muziekweb,Muziekweb,https://data.muziekweb.nl/MuziekwebOrganization/Muziekweb/sparql/Muziekweb,1,0,1,0.67,0,1,0.61,1,1,1,1,1,1,1,0,1,0.75,1,1,1,1,1,3.36
national-library-of-greece-authority-records,National Library of Greece Authority Records,http://nlg.okfn.gr/sparql,1,0,1,0.44,0,1,0.57,0,1,0,1,0.5,1,0,0,1,0.5,0,1,1,0,0.5,2.07
nlr-dataset-mod,National Library of Russia BibCore Dataset,,1,0,1,0.33,0,1,0.56,1,1,0,1,0.75,1,0,0,0,0.25,0,1,1,0,0.5,2.06
nom,Nomenclature for Museum Cataloging,https://nomenclature.info/sparql,1,0,1,0.67,0,1,0.61,1,1,0,1,0.75,1,0,0,1,0.5,1,1,1,0,0.75,2.61
nomisma_org,Nomisma.org ,http://nomisma.org/query,1,0,1,0.67,0,1,0.61,1,1,0,1,0.75,1,0,0,1,0.5,1,1,1,0,0.75,2.61
ntnusc,NTNU special collections,http://api.talis.com/stores/gunnbib-digitalmanuskripter/sparql,1,0,1,0.67,0,1,0.61,1,1,0,1,0.75,1,0,0,1,0.5,1,1,1,0,0.75,2.61
open-library,Open Library,,1,0,1,0.44,0,1,0.57,1,1,0,1,0.75,1,0,0,1,0.5,0,1,1,0,0.5,2.32
orlando-womens-writing-linked-open-data-set,The Orlando Women's Writing Linked Open Data Set,http://sparql.cwrc.ca/sparql,1,0,1,0.56,0,1,0.59,0,1,0,1,0.5,1,1,0,1,0.75,1,1,1,1,1,2.84
pali-english-lexicon,Pali English Lexicon,http://api.kasabi.com/dataset/pali-english-lexicon/apis/sparql,1,0,1,0.56,0,1,0.59,1,1,0,1,0.75,1,1,0,0,0.5,1,1,1,1,1,2.84
periodo,PeriodO Period Gazetteer,,1,0,1,0.56,0,1,0.59,1,1,0,1,0.75,1,0,0,1,0.5,1,1,1,0,0.75,2.59
pleiades,Pleiades,,1,0,1,0.56,0,1,0.59,1,1,0,1,0.75,1,0,0,1,0.5,1,1,1,0,0.75,2.59
polymath-virtual-library,Polymath Virtual Library (Authority data) - Fundación Ignacio Larramendi,,1,0,1,0.44,0,1,0.57,0,1,0,1,0.5,1,0,0,1,0.5,1,1,1,0,0.75,2.32
prelinger_archives,Prelinger Archives,http://api.kasabi.com/dataset/prelinger-archives/apis/sparql,1,0,1,0.56,0,1,0.59,1,1,0,1,0.75,1,1,0,0,0.5,1,1,1,1,1,2.84
princeton-library-findingaids,Princeton Library FindingAids,,1,0,1,0.33,0,1,0.56,1,1,0,1,0.75,1,0,0,1,0.5,0,1,1,0,0.5,2.31
printed-book-auction-catalogues,English Language Books listed in Printed Book Auction Catalogues from 17th Century Holland,http://api.talis.com/stores/pbac/services/sparql,1,0,1,0.56,0,1,0.59,0,1,0,1,0.5,1,1,0,1,0.75,1,1,1,1,1,2.84
Querolus,Querolus in LiLa,https://lila-erc.eu/sparql/lila_knowledge_base/sparql,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,1,1,0,1,0.75,1,1,1,1,1,3.28
radatana,Rådata nå!,http://data.bibsys.no/data/query_authority.html,1,0,1,0.67,0,1,0.61,1,1,0,1,0.75,1,0,0,1,0.5,1,1,1,0,0.75,2.61
rainis-and-aspazija-linked-digital-collection,"""Rainis and Aspazija"" Linked Digital Collection",,1,0,1,0.44,0,1,0.57,1,1,0,1,0.75,1,0,0,1,0.5,0,1,1,0,0.5,2.32
rdfize-lastfm,"Last.FM RDFization of Events, Artists, and Users",,1,0,1,0.33,0,1,0.56,0,1,0,1,0.5,1,1,0,1,0.75,0,1,1,1,0.75,2.56
rism,Répertoire International des Sources Musicales - RISM,http://data.rism.info/sparql,1,0,1,0.67,0,1,0.61,1,1,0,1,0.75,1,0,0,1,0.5,1,1,1,0,0.75,2.61
rism-authorities,RISM Authority data,http://data.rism.info/sparql,1,0,1,0.67,0,1,0.61,1,1,1,1,1,1,0,0,1,0.5,1,1,1,0,0.75,2.86
