id,KG name,Dataset URL,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,R1.1 Machine- or human-readable license retrievable via any primary source,R1.2 Publisher information such as authors-contributors-publishers and sources,R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,FAIR score
lime,Linguistic Metadata (LIME) vocabulary,absent,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.53
isocat,ISOcat,http://www.isocat.org,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.53
vu-wordnet,WordNet 3.0 (VU Amsterdam),http://semanticweb.cs.vu.nl/lod/wn30/,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.3
omwn-cwn,Chinese WordNet (as part of Open Multilingual WordNet),http://compling.hss.ntu.edu.sg/omw/,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
ssf,Lexicon of Syntactic and Semantic Framework,http://www.ss-framework.com,1,0.089468779,1,0.89,1,1,0.83,1,1,1,1,1,1,1,0,1,0.75,0,1,0,1,0.5,3.08
stw-thesaurus-for-economics,STW Thesaurus for Economics,http://zbw.eu/stw,1,0.8582,1,1,1,1,0.98,1,1,1,1,1,1,1,1,1,1,1,1,0.4,1,0.85,3.83
gesis-thesoz,TheSoz Thesaurus for the Social Sciences (GESIS),http://lod.gesis.org/thesoz/,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,1,1,1,1,1,0,1,0.75,3.05
fu-berlin-euraxess,EURAXESS - Researchers in Motion,http://www4.wiwiss.fu-berlin.de/euraxess/,1,0,1,0.56,1,1,0.76,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.26
swefn-rdf,SweFN-RDF,absent,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.32
open-data-thesaurus,Open Data Thesaurus,http://vocabulary.semantic-web.at/PoolParty/wiki/OpenData,1,0,1,1,1,1,0.83,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3.83
masc,Manually Annotated Sub-Corpus (MASC) of the Open American National Corpus,http://www.anc.org/MASC/Home.html,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,1,1,0.75,1,1,0,1,0.75,3.03
omwn-als,Albanet WordNet (as part of Open Multilingual WordNet),http://compling.hss.ntu.edu.sg/omw/,1,0,1,0.78,1,1,0.8,0,1,0,1,0.5,1,1,0,1,0.75,0,1,0,1,0.5,2.55
apertium-rdf-en-ca,Apertium RDF EN-CA,absent,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,1,1,0.75,1,1,0,1,0.75,3.03
panlex,PanLex,http://panlex.org,1,0,1,0.67,1,1,0.78,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.28
UDante,UDante in LiLa,http://lila-erc.eu/data/corpora/UDante/id/corpus,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.82
universal-dependencies-treebank-swedish-lines,Universal Dependencies Treebank Swedish-LinES,https://github.com/UniversalDependencies/UD_Swedish-LinES,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
apertium-rdf-eu-en,Apertium RDF EU-EN,absent,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,1,1,0.75,1,1,0,1,0.75,3.03
environmental-applications-reference-thesaurus,EARTh,http://thesaurus.iia.cnr.it/index.php/vocabularies/earth,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.32
gemet,GEneral Multilingual Environmental Thesaurus,http://www.eionet.europa.eu/gemet/,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.32
thist,ThIST,http://purl.org/NET/ThISTWebPage,1,0,1,0.89,1,1,0.82,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.32
umthes,UMTHES,https://sns.uba.de/umthes/,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
multext-east,Multext-East,http://nl.ijs.si/ME/V4/,1,0,1,0.56,1,1,0.76,0,1,0,1,0.5,0,1,0,1,0.5,0,1,0,1,0.5,2.26
apertium-rdf-eu-es,Apertium RDF EU-ES,absent,1,0,1,0.67,1,1,0.78,1,1,0,1,0.75,0,1,1,1,0.75,1,1,0,1,0.75,3.03
clld-wold,CLLD-WOLD,http://wold.clld.org,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.3
universal-dependencies-treebank-galician,Universal Dependencies Treebank Galician,https://github.com/UniversalDependencies/UD_Galician,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.3
universal-dependencies-treebank-turkish,Universal Dependencies Treebank Turkish,https://github.com/UniversalDependencies/UD_Turkish,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.3
clld-apics,CLLD-APICS,http://apics-online.info,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.3
clld-sails,CLLD-SAILS,http://sails.clld.org,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.3
wn-wiki-instances,Wordnet-Wikipedia/DBpedia instance mapping,https://github.com/jmccrae/wn-wiki-instances,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
gwa-ili,Global WordNet Association Interlingual Index,https://github.com/globalwordnet/ili,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,0,1,0.75,0,1,0,1,0.5,2.8
universal-dependencies-treebank-hindi,Universal Dependencies Treebank Hindi,https://github.com/UniversalDependencies/UD_Hindi,1,0,1,0.78,1,1,0.8,1,1,0,1,0.75,1,1,1,1,1,1,1,0,1,0.75,3.3
