id,processed_url,score_F1A,score_F1B,score_F2A,score_F2B,score_A1.1,score_A1.2,score_I1,score_I2,score_I3,score_R1.1,score_R1.2,score_R1.3,total_F,total_A,total_I,total_R,score_total
universal-dependencies-treebank-swedish-sign-language,https://lod-cloud.net/dataset/universal-dependencies-treebank-swedish-sign-language,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
pleiades,https://lod-cloud.net/dataset/pleiades,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
omwn-pol,https://lod-cloud.net/dataset/omwn-pol,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
apertium-rdf-eo-en,https://lod-cloud.net/dataset/apertium-rdf-eo-en,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
apertium-rdf-eo-fr,https://lod-cloud.net/dataset/apertium-rdf-eo-fr,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
zhishi-lemon,https://lod-cloud.net/dataset/zhishi-lemon,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
wikilinks-rdf-nif,https://lod-cloud.net/dataset/wikilinks-rdf-nif,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
fiesta,https://lod-cloud.net/dataset/fiesta,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
universal-dependencies-treebank-polish,https://lod-cloud.net/dataset/universal-dependencies-treebank-polish,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
universal-dependencies-treebank-czech-cac,https://lod-cloud.net/dataset/universal-dependencies-treebank-czech-cac,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
omwn-nor,https://lod-cloud.net/dataset/omwn-nor,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
universal-dependencies-treebank-gothic,https://lod-cloud.net/dataset/universal-dependencies-treebank-gothic,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
omwn-ita,https://lod-cloud.net/dataset/omwn-ita,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
universal-dependencies-treebank-romanian,https://lod-cloud.net/dataset/universal-dependencies-treebank-romanian,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
universal-dependencies-treebank-indonesian,https://lod-cloud.net/dataset/universal-dependencies-treebank-indonesian,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
apertium-rdf-oc-ca,https://lod-cloud.net/dataset/apertium-rdf-oc-ca,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
alpino-rdf,https://lod-cloud.net/dataset/alpino-rdf,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
omwn-ron,https://lod-cloud.net/dataset/omwn-ron,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
rkb-explorer-wordnet,https://lod-cloud.net/dataset/rkb-explorer-wordnet,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
lingvoj,https://lod-cloud.net/dataset/lingvoj,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
omwn-fin,https://lod-cloud.net/dataset/omwn-fin,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
greek-wordnet,https://lod-cloud.net/dataset/greek-wordnet,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
emn,https://lod-cloud.net/dataset/emn,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
apertium-rdf-fr-es,https://lod-cloud.net/dataset/apertium-rdf-fr-es,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
universal-dependencies-treebank-sanskrit,https://lod-cloud.net/dataset/universal-dependencies-treebank-sanskrit,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
apertium-rdf,https://lod-cloud.net/dataset/apertium-rdf,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
dbpedia-spotlight-nif-ner-corpus,https://lod-cloud.net/dataset/dbpedia-spotlight-nif-ner-corpus,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
fao-geopolitical-ontology,https://lod-cloud.net/dataset/fao-geopolitical-ontology,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
omwn-slk,https://lod-cloud.net/dataset/omwn-slk,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
universal-dependencies-treebank-english-esl,https://lod-cloud.net/dataset/universal-dependencies-treebank-english-esl,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
omwn-msa,https://lod-cloud.net/dataset/omwn-msa,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
tds,https://lod-cloud.net/dataset/tds,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
polymath-virtual-library,https://lod-cloud.net/dataset/polymath-virtual-library,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
masc-bn-nif,https://lod-cloud.net/dataset/masc-bn-nif,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
socialsemweb-thesaurus,https://lod-cloud.net/dataset/socialsemweb-thesaurus,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
omwn-hrv,https://lod-cloud.net/dataset/omwn-hrv,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
isocat-metadata,https://lod-cloud.net/dataset/isocat-metadata,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
de-gaap-ontology-lexicon,https://lod-cloud.net/dataset/de-gaap-ontology-lexicon,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
language-authority-list,https://lod-cloud.net/dataset/language-authority-list,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
omwn-cow,https://lod-cloud.net/dataset/omwn-cow,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
brown-corpus-in-rdf-nif,https://lod-cloud.net/dataset/brown-corpus-in-rdf-nif,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
universal-dependencies-treebank-tamil,https://lod-cloud.net/dataset/universal-dependencies-treebank-tamil,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
geowordnet,https://lod-cloud.net/dataset/geowordnet,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
universal-dependencies-treebank-kazakh,https://lod-cloud.net/dataset/universal-dependencies-treebank-kazakh,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
jrc-names-mlode,https://lod-cloud.net/dataset/jrc-names-mlode,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
universal-dependencies-treebank-russian,https://lod-cloud.net/dataset/universal-dependencies-treebank-russian,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
omwn-slv,https://lod-cloud.net/dataset/omwn-slv,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
apertium-rdf-es-ca,https://lod-cloud.net/dataset/apertium-rdf-es-ca,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
xlid-lexica,https://lod-cloud.net/dataset/xlid-lexica,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
LewisShort,https://lod-cloud.net/dataset/LewisShort,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
reuters-128-nif-ner-corpus,https://lod-cloud.net/dataset/reuters-128-nif-ner-corpus,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
universal-dependencies-treebank-galician-treegal,https://lod-cloud.net/dataset/universal-dependencies-treebank-galician-treegal,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
asjp,https://lod-cloud.net/dataset/asjp,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
english-wordnet,https://lod-cloud.net/dataset/english-wordnet,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
pdev-lemon,https://lod-cloud.net/dataset/pdev-lemon,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
universal-dependencies-treebank-german,https://lod-cloud.net/dataset/universal-dependencies-treebank-german,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
apertium-rdf-en-es,https://lod-cloud.net/dataset/apertium-rdf-en-es,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
apertium-rdf-fr-ca,https://lod-cloud.net/dataset/apertium-rdf-fr-ca,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
lodac-bdls,https://lod-cloud.net/dataset/lodac-bdls,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
universal-dependencies-treebank-coptic,https://lod-cloud.net/dataset/universal-dependencies-treebank-coptic,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
universal-dependencies-treebank-english,https://lod-cloud.net/dataset/universal-dependencies-treebank-english,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
framebase-schema,https://lod-cloud.net/dataset/framebase-schema,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
dbnary,https://lod-cloud.net/dataset/dbnary,2,0,2,2,2,0,2,2,0,0,2,2,6,2,4,4,16
universal-dependencies-treebank-latin-proiel,https://lod-cloud.net/dataset/universal-dependencies-treebank-latin-proiel,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
cornetto,https://lod-cloud.net/dataset/cornetto,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
apertium-rdf-ca-it,https://lod-cloud.net/dataset/apertium-rdf-ca-it,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
omwn-tha,https://lod-cloud.net/dataset/omwn-tha,2,0,2,2,2,0,2,2,2,0,2,2,6,2,6,4,18
