id,title,original_url,score_F1A,score_F1B,score_F2,score_F3,score_F4,score_A1.1,score_A1.2,score_A2,score_I1,score_I2,score_I3,score_R1.1,score_R1.2,score_R1.3,total_F,avg_F,total_A,avg_A,total_I,avg_I,total_R,avg_R,score_total,score_avg
hba,Human Brain Atlas Ontology,https://www.ebi.ac.uk/ols4/ontologies/hba,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
lipidmaps,LIPID MAPS,https://www.lipidmaps.org/,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
cao,Chemical Analysis Metadata Platform (ChAMP) Ontology version 0.2,https://www.ebi.ac.uk/ols4/ontologies/cao,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
phi,PHI-base Ontology,http://www.phi-base.org/,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
msio,Metabolomics Standards Initiative Ontology (MSIO),https://www.ebi.ac.uk/ols4/ontologies/msio,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
pride,Proteomics Identification Database Ontology,https://www.ebi.ac.uk/pride/,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
unimod,Unimod protein modification database for mass spectrometry,http://www.unimod.org/,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
hcao,Human Cell Atlas Ontology,https://www.ebi.ac.uk/ols4/ontologies/hcao,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
bcio,The Behaviour Change Intervention Ontology,https://www.ebi.ac.uk/ols4/ontologies/bcio,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
covoc,CoVoc Coronavirus Vocabulary,https://www.ebi.ac.uk/ols4/ontologies/covoc,2,0,,,,2,0,,0,0,0,0,0,0,2,0.5,2,1,0,0,0,0,4,0.333
snomed,SNOMED CT (International Edition),https://www.snomed.org/,2,0,,,,2,0,,1,1,0,0,0,1,4,1,2,1,2,0.667,1,0.333,9,0.75
